Method; Precision; Exceptions; SdgCreated; CgNodes; CgEdges; SdgNodes; SdgEdges; Time (ms); Memory (M); HasSourcedAndSink; HasLeftToRightVio; HasRightToLeftVio; TotalVios; InstVios; LineVios; DetailedLineVios; Left; Right
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [17, 18, 22]; [20, 21, 23]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [17, 18, 22]; [20, 21, 23]
void main.Main.main(String[]); UNLIMITED_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[]); UNLIMITED_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[]); UNLIMITED_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5245; 528; No; -; -; -; -; -; -; [17, 18, 22]; [20, 21, 23]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5245; 528; No; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5347; 593; No; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5347; 593; No; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5347; 593; No; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5342; 591; No; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5342; 591; No; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5342; 591; No; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5342; 591; No; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5342; 591; No; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5342; 591; No; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5342; 591; No; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5342; 591; No; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(String[] args); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5270; 414; No; -; -; -; -; -; -; [12, 13, 17]; [15, 16, 18]
void main.Main.main(java.lang.String[]); UNLIMITED_OBJECT_SENSITIVE; No; Yes; 113; 141; 6198; 90047; 5345; 589; Yes; Yes; Yes; 461; 61; 6; [void main.Main.main(java.lang.String[]) (line 13) -> void main.Main.main(java.lang.String[]) (line 15), void main.Main.main(java.lang.String[]) (line 13) -> void main.Main.main(java.lang.String[]) (line 16), void main.Main.main(java.lang.String[]) (line 13) -> void main.Main.main(java.lang.String[]) (line 18), void main.Main.main(java.lang.String[]) (line 15) -> void main.Main.main(java.lang.String[]) (line 17), void main.Main.main(java.lang.String[]) (line 16) -> void main.Main.main(java.lang.String[]) (line 17), void main.Main.main(java.lang.String[]) (line 17) -> void main.Main.main(java.lang.String[]) (line 18)]; [12, 13, 17]; [15, 16, 18]
